| Generation | GA_only | Hybrid |
|------------|---------|--------|
|          0 |   13911 |  14085 |
|          1 |   13414 |  12867 |
|          2 |   13081 |  13306 |
|          3 |   13082 |  13306 |
|          4 |   12722 |  13316 |
|          5 |   12889 |  13113 |
|          6 |   12667 |  12982 |
|          7 |   13066 |  13466 |
|          8 |   12899 |  13435 |
|          9 |   12995 |  13205 |
|         10 |   12972 |  13321 |
|         11 |   12448 |  13057 |
|         12 |   12954 |  13470 |
|         13 |   12954 |  12673 |
|         14 |   12954 |  12904 |
|         15 |   12374 |  12904 |
|         16 |   12374 |  12807 |
|         17 |   12374 |  12798 |
|         18 |   13202 |  12807 |
|         19 |   13202 |  12437 |
|         20 |   12985 |  12690 |
|         21 |   12985 |  12690 |
|         22 |   12985 |  12690 |
|         23 |   13249 |  12643 |
|         24 |   13249 |  12690 |
|         25 |   12806 |  12533 |
|         26 |   13079 |  12533 |
|         27 |   13080 |  12533 |
|         28 |   12877 |  12612 |
|         29 |   12877 |  12488 |
|         30 |   13021 |  12488 |
|         31 |   12427 |  12488 |
|         32 |   13023 |  12488 |
|         33 |   13023 |  12488 |
|         34 |   12931 |  12488 |
|         35 |   12545 |  12816 |
|         36 |   12634 |  12586 |
|         37 |   13180 |  12586 |
|         38 |   13313 |  12564 |
|         39 |   13222 |  12925 |
|         40 |   13034 |  12902 |
|         41 |   13144 |  12902 |
|         42 |   13144 |  12821 |
|         43 |   13118 |  12920 |
|         44 |   13145 |  12652 |
|         45 |   12714 |  12865 |
|         46 |   13054 |  12906 |
|         47 |   13137 |  12906 |
|         48 |   12980 |  12906 |
|         49 |   13040 |  13241 |
